	x		sin(x)
)     -0.50	     -0.22
     -0.49	     -0.21
     -0.48	     -0.20
     -0.47	     -0.19
     -0.46	     -0.18
     -0.45	     -0.17
     -0.44	     -0.16
     -0.43	     -0.14
     -0.42	     -0.13
     -0.41	     -0.12
     -0.40	     -0.11
     -0.39	     -0.10
     -0.38	     -0.09
     -0.37	     -0.08
     -0.36	     -0.07
     -0.35	     -0.06
     -0.34	     -0.05
     -0.33	     -0.04
     -0.32	     -0.03
     -0.31	     -0.02
     -0.30	     -0.00
     -0.29	      0.01
     -0.28	      0.02
     -0.27	      0.03
     -0.26	      0.04
     -0.25	      0.05
     -0.24	      0.06
     -0.23	      0.07
     -0.22	      0.08
     -0.21	      0.09
     -0.20	      0.10
     -0.19	      0.11
     -0.18	      0.12
     -0.17	      0.13
     -0.16	      0.14
     -0.15	      0.15
     -0.14	      0.16
     -0.13	      0.17
     -0.12	      0.18
     -0.11	      0.19
     -0.10	      0.20
     -0.09	      0.21
     -0.08	      0.22
     -0.07	      0.23
     -0.06	      0.24
     -0.05	      0.25
     -0.04	      0.26
     -0.03	      0.27
     -0.02	      0.28
     -0.01	      0.29
     -0.00	      0.30
      0.01	      0.31
      0.02	      0.32
      0.03	      0.33
      0.04	      0.34
      0.05	      0.35
      0.06	      0.36
      0.07	      0.37
      0.08	      0.38
      0.09	      0.39
      0.10	      0.40
      0.11	      0.41
      0.12	      0.42
      0.13	      0.43
      0.14	      0.44
      0.15	      0.45
      0.16	      0.46
      0.17	      0.47
      0.18	      0.48
      0.19	      0.49
      0.20	      0.50
      0.21	      0.51
      0.22	      0.52
      0.23	      0.53
      0.24	      0.54
      0.25	      0.55
      0.26	      0.56
      0.27	      0.57
      0.28	      0.58
      0.29	      0.59
      0.30	      0.60
      0.31	      0.62
      0.32	      0.63
      0.33	      0.64
      0.34	      0.65
      0.35	      0.66
      0.36	      0.67
      0.37	      0.68
      0.38	      0.69
      0.39	      0.70
      0.40	      0.71
      0.41	      0.72
      0.42	      0.73
      0.43	      0.74
      0.44	      0.76
      0.45	      0.77
      0.46	      0.78
      0.47	      0.79
      0.48	      0.80
      0.49	      0.81
      0.50	      0.82
      0.51	      0.84
      0.52	      0.85
      0.53	      0.86
      0.54	      0.87
      0.55	      0.88
      0.56	      0.89
      0.57	      0.91
      0.58	      0.92
      0.59	      0.93
      0.60	      0.94
      0.61	      0.96
      0.62	      0.97
      0.63	      0.98
      0.64	      0.99
      0.65	      1.01
      0.66	      1.02
      0.67	      1.03
      0.68	      1.05
      0.69	      1.06
      0.70	      1.08
      0.71	      1.09
      0.72	      1.10
      0.73	      1.12
      0.74	      1.13
      0.75	      1.15
      0.76	      1.16
      0.77	      1.18
      0.78	      1.19
      0.79	      1.21
      0.80	      1.23
